Region,Altitude,Order,Type,MMU,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,LOIT,FE1,SI1,P1,AL1,MN1,LOI1,FE2,SI2,P2,AL2,MN2,LOI2,FE3,SI3,P3,AL3,MN3,LOI3
region_6,80,3,4,region_6#80#3#4,44857,24.51,24.26,51.23,42.64,37.06,0.03,0.81,0.06,0.91,52.94,22.07,0.04,0.61,0.05,1.16,59.13,13.92,0.02,0.50,0.05,0.56,29.91,55.18,0.03,1.05,0.07,0.96
region_6,80,5,1,region_6#80#5#1,39375,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,80,5,2,region_6#80#5#2,4721,24.31,21.38,54.30,66.91,1.41,0.03,0.82,0.54,1.16,67.76,0.77,0.02,0.46,0.64,0.76,67.38,1.21,0.02,0.64,0.44,0.95,66.34,1.78,0.03,1.06,0.54,1.41
region_6,80,6,1,region_6#80#6#1,31019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,80,7,1,region_6#80#7#1,24724,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,80,8,1,region_6#80#8#1,12387,0.00,0.10,1.25,0.52,0.52,0.00,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,52.57,16.92,0.04,1.98,2.50,2.28,38.01,40.26,0.04,1.95,1.15,1.42
region_6,80,8,2,region_6#80#8#2,48219,19.21,22.43,58.36,67.59,1.12,0.02,0.50,0.64,0.64,69.00,0.47,0.01,0.20,0.19,0.22,68.40,0.54,0.02,0.39,0.55,0.44,66.81,1.55,0.03,0.64,0.83,0.85
region_6,70,3,1,region_6#70#3#1,41801,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,70,3,2,region_6#70#3#2,43179,28.33,26.67,45.01,64.74,4.75,0.03,0.99,0.44,1.04,67.32,1.59,0.02,0.72,0.41,0.78,67.64,1.51,0.02,0.66,0.25,0.62,61.40,8.67,0.04,1.36,0.57,1.45
region_6,70,3,4,region_6#70#3#4,6673,18.67,24.55,56.78,43.30,36.01,0.03,0.89,0.12,0.93,54.89,19.56,0.03,0.61,0.18,0.89,61.18,10.83,0.02,0.57,0.07,0.66,31.76,52.32,0.03,1.11,0.12,1.06
region_6,70,5,1,region_6#70#5#1,33772,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,70,5,2,region_6#70#5#2,83463,19.36,26.97,53.67,67.40,1.05,0.03,0.58,0.65,0.95,68.12,0.63,0.02,0.40,0.43,0.67,68.72,0.61,0.01,0.24,0.23,0.40,66.47,1.41,0.04,0.81,0.94,1.33
region_6,70,6,1,region_6#70#6#1,124546,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,70,6,2,region_6#70#6#2,14203,19.69,32.81,47.50,66.41,1.49,0.03,0.78,1.10,0.98,67.43,0.59,0.02,0.52,1.05,0.60,67.98,0.62,0.02,0.42,0.75,0.53,64.90,2.47,0.04,1.14,1.36,1.44
region_6,70,7,1,region_6#70#7#1,168858,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,70,7,2,region_6#70#7#2,17442,23.64,26.53,49.83,67.39,1.11,0.02,0.59,0.62,0.66,68.82,0.45,0.01,0.24,0.26,0.26,67.81,0.60,0.02,0.42,0.68,0.53,66.50,1.69,0.03,0.85,0.75,0.92
region_6,70,8,1,region_6#70#8#1,7638,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,70,8,2,region_6#70#8#2,7483,24.82,24.17,51.01,67.43,1.17,0.02,0.50,0.64,0.62,68.81,0.49,0.01,0.22,0.28,0.26,67.55,0.68,0.02,0.40,0.81,0.56,66.71,1.73,0.03,0.67,0.73,0.83
region_6,60,3,1,region_6#60#3#1,24430,5.99,9.48,26.38,16.99,16.23,0.01,0.54,0.08,0.58,56.02,16.88,0.03,0.83,0.43,1.13,59.62,11.68,0.02,1.09,0.09,1.26,30.24,53.48,0.03,1.46,0.16,1.47
region_6,60,3,2,region_6#60#3#2,94851,32.44,27.80,39.76,65.13,3.79,0.04,1.09,0.54,1.11,66.48,2.42,0.03,0.95,0.42,0.84,66.84,2.32,0.02,0.77,0.33,0.74,62.85,5.95,0.05,1.43,0.78,1.59
region_6,60,3,4,region_6#60#3#4,41286,18.16,21.21,60.63,43.36,35.64,0.03,0.94,0.20,0.91,56.73,16.65,0.04,0.71,0.29,0.78,61.81,9.70,0.02,0.71,0.10,0.70,32.91,50.40,0.03,1.10,0.21,1.03
region_6,60,5,1,region_6#60#5#1,31310,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,60,5,2,region_6#60#5#2,82842,30.95,29.02,40.03,67.31,1.09,0.03,0.70,0.71,0.84,67.84,0.90,0.02,0.64,0.48,0.63,68.38,0.66,0.01,0.42,0.40,0.52,66.12,1.54,0.04,0.95,1.11,1.24
region_6,60,6,1,region_6#60#6#1,71521,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,60,6,2,region_6#60#6#2,77520,24.35,32.34,43.31,67.24,0.72,0.03,0.68,1.20,0.89,67.10,0.44,0.02,0.70,1.50,0.82,68.31,0.43,0.02,0.42,0.80,0.57,66.51,1.09,0.04,0.85,1.33,1.18
region_6,60,7,1,region_6#60#7#1,163839,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,60,7,2,region_6#60#7#2,58600,20.15,27.02,52.83,66.84,1.16,0.02,0.67,0.96,0.94,67.51,0.82,0.01,0.42,0.95,0.67,67.53,0.71,0.01,0.43,0.88,0.71,66.23,1.53,0.03,0.89,1.00,1.17
region_6,60,8,1,region_6#60#8#1,1768,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,50,3,2,region_6#50#3#2,134837,36.22,26.22,37.56,64.56,4.28,0.04,1.21,0.56,1.20,66.49,2.39,0.03,1.08,0.35,0.85,66.76,2.11,0.02,0.88,0.32,0.86,61.14,7.62,0.06,1.56,0.94,1.77
region_6,50,3,3,region_6#50#3#3,21165,23.27,18.76,57.97,45.29,32.83,0.03,0.89,0.32,0.84,57.95,14.96,0.04,0.75,0.36,0.61,62.45,9.03,0.02,0.71,0.17,0.56,34.65,47.71,0.03,1.01,0.35,1.01
region_6,50,5,2,region_6#50#5#2,263449,32.21,29.02,38.76,66.88,1.55,0.04,0.85,0.58,0.93,67.59,1.13,0.02,0.80,0.40,0.70,68.01,0.84,0.02,0.56,0.36,0.68,65.44,2.43,0.06,1.09,0.89,1.30
region_6,50,5,4,region_6#50#5#4,19832,24.79,13.54,57.21,44.54,29.83,0.03,0.72,0.37,0.69,61.80,10.34,0.03,0.56,0.19,0.45,60.58,11.24,0.03,0.71,0.46,0.63,36.74,45.01,0.03,0.85,0.45,0.87
region_6,50,6,1,region_6#50#6#1,33583,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,50,6,2,region_6#50#6#2,222377,27.23,29.56,43.20,67.17,1.13,0.03,0.77,0.80,0.82,68.25,0.51,0.01,0.50,0.59,0.48,68.31,0.57,0.02,0.48,0.55,0.52,65.70,1.91,0.04,1.14,1.10,1.24
region_6,50,6,4,region_6#50#6#4,6141,11.00,12.51,76.49,43.41,34.78,0.03,1.08,0.61,1.02,60.55,11.39,0.03,0.74,0.31,0.52,61.01,10.21,0.02,0.71,0.62,0.76,38.07,42.16,0.03,1.19,0.65,1.13
region_6,50,7,1,region_6#50#7#1,50184,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,50,7,2,region_6#50#7#2,72196,23.74,28.01,48.25,67.23,0.79,0.02,0.65,0.91,0.87,68.15,0.35,0.01,0.39,0.82,0.56,67.97,0.37,0.01,0.40,0.78,0.62,66.35,1.24,0.03,0.92,1.03,1.16
region_7,100,3,1,region_7#100#3#1,101433,27.96,17.81,54.23,38.92,42.65,0.02,0.60,0.04,0.71,49.68,27.71,0.02,0.33,0.02,0.60,59.90,13.05,0.03,0.37,0.05,0.61,26.49,60.07,0.02,0.82,0.04,0.80
region_7,100,3,2,region_7#100#3#2,1572,19.35,32.56,48.09,59.19,12.02,0.09,0.97,0.13,1.86,66.16,1.11,0.13,0.77,0.25,2.67,66.69,1.70,0.11,0.65,0.11,1.95,51.31,23.39,0.06,1.27,0.10,1.48
region_7,100,3,3,region_7#100#3#3,1791,21.81,26.17,52.02,49.52,24.16,0.15,1.32,0.14,3.16,58.07,10.54,0.26,0.60,0.10,5.13,60.73,8.86,0.16,0.65,0.10,3.21,40.30,37.56,0.10,1.96,0.17,2.32
region_7,100,3,4,region_7#100#3#4,6110,28.72,18.04,53.23,44.61,34.36,0.02,0.83,0.02,0.72,59.81,13.55,0.02,0.38,0.01,0.37,62.63,9.05,0.03,0.58,0.02,0.59,30.30,54.17,0.02,1.16,0.02,0.96
region_7,100,5,1,region_7#100#5#1,16025,29.95,18.25,51.80,38.98,42.65,0.02,0.55,0.07,0.55,49.54,28.06,0.02,0.34,0.02,0.47,59.62,13.27,0.03,0.38,0.14,0.49,25.61,61.43,0.02,0.72,0.07,0.61
region_7,100,5,4,region_7#100#5#4,9986,27.91,24.55,47.54,44.42,34.98,0.03,0.59,0.04,0.46,58.56,14.94,0.03,0.54,0.02,0.43,61.02,11.37,0.05,0.51,0.07,0.37,27.54,58.93,0.03,0.66,0.04,0.52
region_7,100,9,1,region_7#100#9#1,13300,28.18,21.01,50.81,40.99,39.97,0.03,0.52,0.01,0.60,51.93,24.48,0.03,0.35,0.01,0.60,59.32,14.01,0.04,0.31,0.01,0.58,27.35,59.31,0.02,0.70,0.01,0.61
region_7,100,9,2,region_7#100#9#2,2238,19.26,26.40,54.34,58.39,13.06,0.06,1.21,0.04,2.00,62.99,4.75,0.07,1.90,0.03,3.03,65.59,2.99,0.06,0.92,0.04,2.02,53.26,20.90,0.05,1.10,0.04,1.63
region_7,100,9,4,region_7#100#9#4,2564,19.15,22.01,58.84,42.35,37.92,0.03,0.61,0.01,0.68,56.05,18.52,0.03,0.44,0.01,0.60,60.37,12.32,0.04,0.35,0.01,0.72,31.14,53.82,0.02,0.76,0.01,0.69
region_7,100,10,1,region_7#100#10#1,13091,6.84,16.10,77.06,40.16,40.04,0.03,1.18,0.01,1.11,55.34,16.11,0.06,2.10,0.01,2.26,61.89,9.35,0.06,0.63,0.02,1.29,34.27,48.58,0.03,1.22,0.01,0.97
region_7,100,10,2,region_7#100#10#2,11437,10.05,26.28,63.67,55.87,17.49,0.04,1.06,0.02,1.44,63.24,3.56,0.09,2.46,0.03,3.35,65.52,4.06,0.05,0.74,0.02,1.36,50.73,25.24,0.04,0.97,0.02,1.17
region_7,100,10,3,region_7#100#10#3,38024,17.23,23.77,59.00,45.22,33.62,0.04,0.72,0.01,0.94,61.22,10.44,0.05,0.68,0.01,1.37,62.79,8.53,0.05,0.63,0.01,1.10,33.46,50.50,0.03,0.77,0.01,0.76
region_7,100,11,1,region_7#100#11#1,20580,17.08,18.99,63.93,37.08,45.12,0.04,0.87,0.03,1.01,50.79,26.01,0.05,0.39,0.01,0.91,48.57,28.93,0.05,0.67,0.02,1.08,30.01,55.04,0.03,1.06,0.03,1.01
region_7,100,11,4,region_7#100#11#4,27875,27.89,23.11,48.99,43.24,37.00,0.03,0.63,0.01,0.85,57.87,16.67,0.03,0.38,0.01,0.66,56.71,17.50,0.05,0.70,0.01,1.15,28.57,57.77,0.03,0.74,0.01,0.82
region_7,100,12,1,region_7#100#12#1,1719,15.61,18.29,66.10,37.95,43.28,0.04,1.06,0.03,1.31,49.75,26.96,0.06,0.40,0.01,1.46,50.48,25.63,0.05,0.75,0.03,1.46,31.69,52.02,0.03,1.31,0.04,1.24
region_7,90,3,1,region_7#90#3#1,128984,21.45,18.60,59.96,40.00,40.87,0.03,0.78,0.04,0.75,55.37,19.35,0.03,0.44,0.03,0.69,61.30,10.79,0.04,0.46,0.04,0.72,27.90,57.89,0.03,0.99,0.05,0.78
region_7,90,3,2,region_7#90#3#2,8522,15.05,35.63,49.31,61.68,9.15,0.06,0.80,0.21,1.36,66.34,2.20,0.08,0.44,0.30,1.83,67.14,2.11,0.06,0.47,0.16,1.17,56.32,16.36,0.06,1.15,0.22,1.36
region_7,90,3,3,region_7#90#3#3,11905,12.02,25.16,62.82,51.75,21.27,0.12,1.71,0.15,2.60,62.26,5.89,0.19,0.74,0.08,3.59,62.84,6.46,0.14,0.74,0.11,2.69,45.30,30.15,0.09,2.28,0.18,2.37
region_7,90,3,4,region_7#90#3#4,18304,19.72,18.24,62.04,43.00,36.04,0.04,1.08,0.05,1.05,59.64,13.06,0.04,0.59,0.04,0.88,62.95,8.16,0.05,0.61,0.04,1.01,31.84,51.54,0.04,1.37,0.05,1.11
region_7,90,5,1,region_7#90#5#1,52232,21.08,19.91,57.11,38.97,40.80,0.03,0.55,0.04,0.55,53.42,22.34,0.04,0.41,0.02,0.59,60.50,12.05,0.05,0.39,0.03,0.62,27.43,59.00,0.03,0.68,0.05,0.52
region_7,90,5,3,region_7#90#5#3,1036,20.51,27.69,51.80,45.28,31.69,0.16,0.61,0.09,2.71,57.01,12.51,0.27,0.68,0.14,4.97,59.59,10.88,0.19,0.52,0.07,3.04,32.98,50.41,0.09,0.63,0.08,1.63
region_7,90,5,4,region_7#90#5#4,38580,19.76,23.00,57.24,43.92,35.76,0.03,0.62,0.03,0.55,58.22,15.62,0.03,0.46,0.02,0.46,62.08,9.91,0.05,0.47,0.03,0.58,31.68,53.10,0.03,0.73,0.03,0.57
region_7,90,6,1,region_7#90#6#1,12077,22.03,20.22,57.75,40.13,41.08,0.02,0.64,0.03,0.65,54.50,20.86,0.02,0.43,0.02,0.52,59.50,13.59,0.03,0.47,0.03,0.67,27.87,58.42,0.02,0.78,0.04,0.69
region_7,90,8,2,region_7#90#8#2,3459,24.00,28.33,47.67,59.08,11.99,0.05,1.07,0.07,2.12,63.77,4.42,0.07,1.15,0.04,3.02,65.57,3.03,0.06,0.81,0.06,2.08,52.86,21.12,0.04,1.19,0.09,1.70
region_7,90,8,4,region_7#90#8#4,5881,17.43,25.91,56.67,42.21,37.83,0.03,0.73,0.03,0.73,59.47,13.26,0.02,0.48,0.01,0.82,61.59,10.65,0.03,0.46,0.01,0.50,28.04,57.81,0.03,0.94,0.04,0.81
region_7,90,9,1,region_7#90#9#1,43920,45.98,16.49,37.53,39.56,42.01,0.02,0.47,0.01,0.59,45.95,33.02,0.02,0.32,0.01,0.61,53.67,22.06,0.02,0.38,0.01,0.51,25.53,61.80,0.02,0.68,0.01,0.59
region_7,90,9,2,region_7#90#9#2,2691,13.41,33.25,53.34,57.81,15.25,0.04,0.66,0.03,1.34,64.39,4.86,0.06,0.73,0.03,2.23,67.14,2.40,0.04,0.40,0.02,1.00,50.35,25.87,0.03,0.80,0.04,1.33
region_7,90,9,4,region_7#90#9#4,25019,19.39,23.05,57.56,43.03,36.78,0.03,0.65,0.01,0.77,58.34,14.77,0.03,0.51,0.02,0.96,61.46,10.65,0.04,0.38,0.01,0.75,30.49,54.65,0.02,0.81,0.01,0.72
region_7,90,10,1,region_7#90#10#1,16531,12.36,18.63,69.02,40.87,39.13,0.04,1.06,0.01,1.08,57.18,14.34,0.06,1.65,0.01,1.88,62.61,8.38,0.06,0.61,0.01,1.21,32.09,51.86,0.03,1.08,0.01,0.91
region_7,90,10,2,region_7#90#10#2,4053,9.27,31.24,59.49,59.14,12.90,0.04,0.90,0.02,1.45,64.86,1.78,0.07,2.38,0.03,2.94,66.53,2.90,0.04,0.58,0.02,1.20,54.36,19.88,0.03,0.84,0.03,1.36
region_7,90,10,3,region_7#90#10#3,112950,18.96,23.40,57.64,45.65,32.63,0.04,0.92,0.02,1.02,53.67,20.91,0.05,0.90,0.01,1.35,61.52,10.15,0.05,0.68,0.01,1.07,36.56,45.60,0.03,1.03,0.02,0.89
region_7,90,11,1,region_7#90#11#1,58756,19.78,20.43,59.79,39.38,42.21,0.03,0.72,0.02,0.84,52.09,24.46,0.03,0.45,0.01,0.71,51.45,25.01,0.04,0.63,0.01,0.92,31.06,53.97,0.03,0.84,0.02,0.86
region_7,90,11,4,region_7#90#11#4,58255,24.17,21.45,54.37,44.07,35.78,0.03,0.65,0.01,0.77,57.94,16.43,0.03,0.41,0.01,0.62,58.23,15.48,0.04,0.59,0.01,0.89,32.31,52.40,0.02,0.79,0.02,0.80
region_7,90,12,1,region_7#90#12#1,34406,16.89,19.65,63.46,39.90,40.91,0.03,0.88,0.03,1.09,49.93,26.92,0.04,0.51,0.01,1.13,51.58,24.53,0.04,0.64,0.02,1.05,33.61,49.70,0.03,1.05,0.04,1.10
region_7,80,2,1,region_7#80#2#1,4707,13.73,19.41,66.86,41.10,39.45,0.03,0.84,0.03,0.67,63.32,8.44,0.03,0.42,0.02,0.49,62.60,9.09,0.03,0.58,0.02,0.67,30.29,54.63,0.02,1.00,0.03,0.71
region_7,80,2,4,region_7#80#2#4,1021,13.06,17.87,69.08,42.84,36.88,0.02,0.89,0.02,0.70,62.72,9.09,0.02,0.48,0.02,0.53,63.65,7.40,0.03,0.68,0.02,0.77,33.70,49.76,0.02,1.02,0.03,0.71
region_7,80,3,1,region_7#80#3#1,233407,18.08,18.00,63.92,40.06,40.85,0.03,0.79,0.04,0.81,58.55,14.87,0.03,0.45,0.03,0.69,61.16,11.05,0.04,0.43,0.03,0.80,28.89,56.59,0.03,0.99,0.04,0.84
region_7,80,3,2,region_7#80#3#2,41174,21.73,29.23,49.04,58.74,12.25,0.09,1.25,0.24,1.95,64.86,3.06,0.10,1.00,0.29,2.28,65.50,3.27,0.09,0.76,0.23,1.86,51.99,21.68,0.08,1.65,0.24,1.86
region_7,80,3,4,region_7#80#3#4,33914,15.02,20.18,64.80,43.86,34.24,0.06,1.20,0.04,1.43,60.27,11.61,0.07,0.53,0.03,1.64,63.09,7.37,0.07,0.57,0.03,1.50,34.06,47.86,0.05,1.56,0.04,1.36
region_7,80,5,1,region_7#80#5#1,107423,19.34,20.65,60.01,40.61,40.55,0.03,0.55,0.03,0.62,54.75,20.54,0.03,0.34,0.03,0.56,59.94,12.99,0.03,0.40,0.03,0.66,29.39,56.48,0.02,0.67,0.03,0.63
region_7,80,5,4,region_7#80#5#4,38967,17.94,22.54,59.52,43.52,36.51,0.02,0.58,0.02,0.50,59.36,13.80,0.03,0.52,0.02,0.49,62.52,9.50,0.03,0.44,0.02,0.38,31.55,53.58,0.02,0.66,0.02,0.55
region_7,80,6,1,region_7#80#6#1,28627,21.40,20.60,58.00,39.67,41.88,0.02,0.45,0.03,0.51,56.14,18.53,0.02,0.32,0.02,0.38,58.41,15.21,0.02,0.35,0.03,0.53,26.94,59.96,0.02,0.53,0.04,0.56
region_7,80,6,4,region_7#80#6#4,170,17.10,21.35,61.55,42.31,36.19,0.04,1.38,0.05,1.49,61.49,9.92,0.03,0.77,0.03,0.91,62.26,8.55,0.04,0.68,0.03,1.28,30.06,53.07,0.04,1.78,0.06,1.71
region_7,80,7,1,region_7#80#7#1,7576,7.44,16.63,75.92,41.54,38.02,0.03,1.09,0.05,1.19,61.00,11.06,0.03,0.59,0.02,0.91,63.17,7.72,0.03,0.68,0.03,1.01,34.89,47.30,0.03,1.22,0.05,1.25
region_7,80,7,2,region_7#80#7#2,6661,23.42,30.50,46.08,62.84,6.26,0.06,1.40,0.10,2.08,66.33,1.40,0.06,1.30,0.07,2.15,66.33,2.31,0.05,0.91,0.06,1.68,58.75,95.10,0.62,12.96,0.93,18.54
region_7,80,7,4,region_7#80#7#4,18745,12.03,20.91,67.06,43.89,35.79,0.02,0.67,0.02,0.61,60.81,11.96,0.02,0.50,0.02,0.51,64.17,7.26,0.02,0.46,0.01,0.46,34.53,48.96,0.02,0.77,0.03,0.68
region_7,80,8,1,region_7#80#8#1,10111,17.26,26.45,56.29,40.64,40.43,0.02,0.62,0.01,0.54,59.16,14.38,0.01,0.31,0.01,0.41,61.76,10.86,0.02,0.33,0.01,0.39,25.04,62.32,0.02,0.85,0.01,0.65
region_7,80,8,2,region_7#80#8#2,24755,25.30,30.26,44.44,62.14,7.89,0.05,1.02,0.08,1.90,65.47,2.41,0.06,1.13,0.04,2.60,66.27,2.37,0.05,0.79,0.07,1.80,57.44,14.77,0.04,1.12,0.10,1.56
region_7,80,8,3,region_7#80#8#3,53802,15.27,23.76,60.97,47.89,29.63,0.03,0.88,0.06,0.68,65.79,4.89,0.02,0.52,0.02,0.39,64.96,5.76,0.03,0.56,0.04,0.60,36.76,45.13,0.03,1.09,0.08,0.79
region_7,80,9,1,region_7#80#9#1,59303,42.01,19.63,38.35,40.10,41.49,0.02,0.40,0.01,0.47,48.36,29.82,0.02,0.27,0.01,0.46,55.04,20.33,0.02,0.30,0.01,0.44,23.41,65.10,0.02,0.59,0.01,0.49
region_7,80,9,2,region_7#80#9#2,5720,5.76,34.69,59.55,58.14,14.98,0.02,0.98,0.01,0.96,64.59,6.70,0.03,0.45,0.02,0.80,67.40,2.73,0.02,0.31,0.01,0.45,52.11,22.92,0.02,1.42,0.02,1.27
region_7,80,9,3,region_7#80#9#3,27787,15.64,25.20,59.16,45.86,32.87,0.02,0.54,0.02,0.74,58.96,13.77,0.02,0.39,0.02,1.33,62.86,8.79,0.03,0.38,0.02,0.68,35.15,48.19,0.02,0.65,0.01,0.62
region_7,80,10,1,region_7#80#10#1,14503,27.10,19.54,53.36,40.33,39.95,0.04,1.04,0.02,1.16,46.20,32.00,0.04,0.71,0.02,1.10,55.29,18.67,0.06,0.79,0.02,1.29,31.86,51.79,0.04,1.30,0.03,1.14
region_7,80,10,3,region_7#80#10#3,131819,14.90,25.82,59.28,46.94,30.67,0.03,1.01,0.02,0.99,52.71,22.52,0.04,0.78,0.01,1.17,61.70,9.84,0.04,0.77,0.01,0.99,39.06,41.78,0.03,1.17,0.02,0.94
region_7,80,11,1,region_7#80#11#1,74779,18.91,19.02,62.08,39.40,41.58,0.03,0.94,0.03,1.03,48.01,29.91,0.03,0.56,0.02,0.83,52.96,22.47,0.04,0.67,0.02,1.01,32.62,50.99,0.03,1.14,0.04,1.10
region_7,80,11,2,region_7#80#11#2,11668,39.73,41.74,18.54,61.53,3.13,0.13,3.10,0.06,5.61,62.92,1.09,0.14,3.10,0.04,5.73,61.46,2.39,0.14,3.43,0.07,5.91,58.72,9.14,0.09,2.38,0.06,4.69
region_7,80,11,4,region_7#80#11#4,81304,21.82,20.43,57.74,43.45,36.17,0.03,0.81,0.02,0.88,53.31,22.72,0.03,0.52,0.01,0.74,56.97,16.92,0.03,0.67,0.01,0.91,34.94,48.06,0.03,0.97,0.03,0.92
region_7,80,12,1,region_7#80#12#1,68134,14.76,18.40,66.84,39.41,41.46,0.03,0.95,0.05,1.11,51.83,25.07,0.02,0.36,0.01,0.55,51.63,24.78,0.03,0.50,0.02,0.73,33.30,49.68,0.03,1.21,0.06,1.34
region_7,80,12,2,region_7#80#12#2,4936,41.95,42.07,15.98,61.70,2.33,0.15,3.28,0.06,6.05,62.89,0.88,0.15,3.28,0.04,5.97,61.30,2.05,0.16,3.53,0.07,6.45,59.61,6.88,0.10,2.66,0.08,5.20
region_7,80,12,4,region_7#80#12#4,27304,13.77,21.71,64.52,43.16,36.08,0.03,0.99,0.03,1.07,52.02,24.37,0.03,0.51,0.01,0.72,55.67,18.72,0.03,0.63,0.02,0.84,37.06,44.42,0.03,1.21,0.04,1.23
region_7,70,1,1,region_7#70#1#1,8331,1.76,1.92,9.18,3.72,7.02,0.01,0.15,0.03,0.26,40.78,38.93,0.04,0.54,0.42,1.27,48.41,27.20,0.06,0.75,0.41,2.07,22.55,63.25,0.07,1.42,0.19,2.13
region_7,70,1,2,region_7#70#1#2,1358,12.09,32.07,55.84,59.85,9.17,0.09,2.33,0.13,2.28,61.03,2.92,0.17,4.02,0.19,4.67,65.26,2.27,0.09,1.72,0.13,2.10,56.49,14.49,0.08,2.31,0.12,1.87
region_7,70,1,3,region_7#70#1#3,5870,6.53,25.34,68.12,48.89,25.30,0.08,1.89,0.13,2.28,61.40,6.21,0.09,2.38,0.15,3.30,63.38,5.70,0.06,1.25,0.08,1.80,42.29,34.42,0.08,2.08,0.14,2.35
region_7,70,2,1,region_7#70#2#1,26645,9.33,16.01,56.65,32.53,33.56,0.03,0.86,0.07,0.76,59.06,14.04,0.03,0.53,0.04,0.66,63.28,7.45,0.04,0.66,0.09,0.90,29.81,54.83,0.04,1.25,0.10,0.98
region_7,70,2,2,region_7#70#2#2,18161,12.93,33.80,53.27,61.89,8.44,0.05,1.25,0.10,1.25,65.49,3.97,0.03,0.94,0.06,0.92,65.43,3.64,0.04,0.91,0.14,1.18,58.78,12.56,0.05,1.54,0.09,1.38
region_7,70,2,4,region_7#70#2#4,39517,11.32,22.56,66.13,44.58,34.15,0.04,0.89,0.06,0.86,62.19,9.50,0.04,0.45,0.02,0.81,64.76,5.55,0.04,0.52,0.04,0.74,34.69,48.12,0.04,1.08,0.07,0.91
region_7,70,3,1,region_7#70#3#1,339386,35.37,16.46,48.17,39.25,42.40,0.03,0.55,0.06,0.67,48.96,28.80,0.03,0.40,0.03,0.49,56.77,17.35,0.05,0.40,0.11,0.80,26.14,60.95,0.03,0.72,0.07,0.75
region_7,70,3,2,region_7#70#3#2,51706,17.75,27.62,54.63,55.74,16.84,0.10,1.16,0.10,2.00,63.65,4.60,0.14,0.97,0.12,2.72,64.50,4.61,0.11,0.77,0.11,2.09,48.75,26.99,0.07,1.43,0.09,1.72
