Region,Altitude,Order,Type,MMU,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,LOIT,FE1,SI1,P1,AL1,MN1,LOI1,FE2,SI2,P2,AL2,MN2,LOI2,FE3,SI3,P3,AL3,MN3,LOI3
region_4,100,6,2,region_4#100#6#2,1255,43.68,21.48,34.83,63.94,2.38,0.08,2.96,0.44,2.01,66.08,1.14,0.05,2.26,0.18,1.46,65.46,1.81,0.05,2.31,0.19,1.57,60.31,4.30,0.13,4.25,0.92,2.97
region_4,100,6,3,region_4#100#6#3,22294,34.39,32.86,32.75,46.06,14.05,0.04,12.94,0.11,6.21,46.19,14.40,0.04,12.49,0.10,6.18,50.10,11.94,0.03,10.67,0.06,5.01,41.87,15.78,0.04,15.70,0.17,7.44
region_4,100,7,1,region_4#100#7#1,25502,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,90,2,1,region_4#90#2#1,19983,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,90,3,1,region_4#90#3#1,70606,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,90,3,2,region_4#90#3#2,2538,31.81,33.46,34.74,58.65,6.52,0.03,6.14,0.08,2.97,66.26,2.04,0.03,1.96,0.04,1.18,61.37,5.06,0.01,4.61,0.06,2.26,49.06,12.01,0.04,11.44,0.15,5.29
region_4,90,5,1,region_4#90#5#1,67117,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,90,5,2,region_4#90#5#2,74444,28.99,33.64,37.37,60.50,5.58,0.03,4.85,0.12,2.57,62.73,4.37,0.03,3.71,0.07,1.99,63.43,4.00,0.02,3.37,0.06,1.73,56.15,7.94,0.04,7.06,0.21,3.78
region_4,90,6,1,region_4#90#6#1,47397,29.31,21.18,18.73,25.74,13.68,0.03,12.25,0.07,5.66,38.98,19.04,0.04,16.38,0.10,7.81,38.17,19.26,0.04,17.09,0.07,7.77,33.28,21.44,0.04,20.44,0.12,9.22
region_4,90,6,2,region_4#90#6#2,128607,18.54,29.67,51.79,65.29,1.78,0.07,2.02,0.52,1.64,65.96,1.16,0.05,2.40,0.22,1.53,67.35,0.99,0.04,1.20,0.18,0.92,63.87,2.45,0.09,2.36,0.81,2.09
region_4,90,6,3,region_4#90#6#3,32172,37.27,31.42,31.31,46.02,14.39,0.03,12.80,0.11,6.07,45.29,15.14,0.04,12.99,0.09,6.27,48.57,13.00,0.03,11.43,0.07,5.29,44.33,14.90,0.04,13.97,0.16,6.61
region_4,90,7,1,region_4#90#7#1,6851,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,90,7,2,region_4#90#7#2,17494,10.63,19.44,69.94,61.94,3.64,0.08,3.83,0.60,2.44,64.95,1.51,0.06,3.31,0.19,1.77,62.11,3.85,0.04,4.22,0.25,2.26,61.44,3.91,0.09,3.80,0.76,2.59
region_4,90,7,3,region_4#90#7#3,33803,38.16,27.66,34.17,50.82,11.73,0.03,9.90,0.12,4.68,53.77,9.91,0.03,8.20,0.12,3.96,52.98,10.66,0.03,8.69,0.08,4.13,45.78,14.63,0.04,12.77,0.17,5.93
region_4,80,2,1,region_4#80#2#1,15606,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,80,2,2,region_4#80#2#2,292,25.11,33.43,41.45,63.81,2.58,0.03,3.31,0.40,2.06,65.95,1.29,0.02,2.57,0.15,1.49,65.41,1.71,0.02,2.57,0.29,1.55,61.21,4.05,0.06,4.35,0.64,2.81
region_4,80,2,3,region_4#80#2#3,4531,12.41,36.45,51.14,46.42,14.31,0.03,12.43,0.30,5.94,58.34,7.05,0.04,5.76,0.21,3.30,49.50,12.69,0.03,10.41,0.28,5.35,41.34,17.22,0.04,15.50,0.33,6.99
region_4,80,3,1,region_4#80#3#1,53034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,80,3,2,region_4#80#3#2,30359,33.13,32.45,34.43,58.53,6.76,0.03,6.01,0.10,2.95,66.76,1.76,0.03,1.56,0.04,0.95,60.60,5.65,0.02,4.79,0.09,2.49,48.67,12.62,0.04,11.44,0.17,5.32
region_4,80,5,1,region_4#80#5#1,5265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,80,5,2,region_4#80#5#2,130397,29.74,28.87,41.39,62.63,3.98,0.04,3.51,0.28,2.08,64.94,2.91,0.03,2.47,0.06,1.43,64.70,3.02,0.02,2.54,0.12,1.42,59.52,5.41,0.07,4.93,0.55,3.01
region_4,80,6,1,region_4#80#6#1,24061,40.34,25.80,19.36,31.21,17.75,0.03,15.23,0.08,7.01,36.70,20.79,0.04,17.63,0.09,8.22,37.27,20.19,0.04,17.36,0.08,7.99,35.04,21.48,0.04,18.79,0.11,8.40
region_4,80,6,2,region_4#80#6#2,190316,12.04,27.83,60.13,65.72,1.53,0.07,1.57,0.79,1.41,67.47,0.94,0.05,1.39,0.12,0.87,67.99,0.81,0.03,0.79,0.17,0.58,64.31,1.99,0.09,1.97,1.21,1.90
region_4,80,6,3,region_4#80#6#3,20391,37.68,31.21,31.11,47.87,13.64,0.03,11.61,0.09,5.51,46.28,14.79,0.04,12.46,0.07,5.98,48.57,13.22,0.03,11.29,0.06,5.23,49.09,12.66,0.03,10.91,0.14,5.22
region_4,80,7,1,region_4#80#7#1,888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,80,7,2,region_4#80#7#2,20692,11.08,24.10,64.82,64.28,2.35,0.07,2.33,0.74,1.76,65.88,1.85,0.06,2.18,0.12,1.19,66.38,1.65,0.04,1.64,0.23,1.03,63.22,2.69,0.09,2.62,1.03,2.13
region_4,80,7,3,region_4#80#7#3,22203,47.72,24.41,27.87,47.93,13.73,0.03,11.35,0.11,5.35,50.32,12.18,0.03,10.10,0.10,4.80,48.08,13.93,0.03,11.13,0.09,5.36,43.71,16.23,0.04,13.70,0.15,6.30
region_4,70,2,1,region_4#70#2#1,4638,0.00,7.19,92.81,22.21,57.49,0.06,4.41,1.68,3.40,0.00,0.00,0.00,0.00,0.00,0.00,32.97,43.69,0.04,3.08,1.75,2.64,21.38,58.56,0.06,4.51,1.68,3.46
region_4,70,2,2,region_4#70#2#2,25096,17.23,27.49,55.29,61.19,7.78,0.03,2.10,0.57,1.57,65.60,3.01,0.02,1.68,0.21,1.08,64.81,4.03,0.02,1.51,0.37,1.06,58.02,11.12,0.04,2.52,0.78,1.97
region_4,70,2,3,region_4#70#2#3,10875,8.79,37.44,53.77,45.13,15.40,0.04,12.84,0.29,6.24,55.55,8.66,0.05,6.84,0.25,4.43,48.86,13.34,0.03,10.59,0.27,5.51,40.83,17.94,0.04,15.39,0.31,7.05
region_4,70,2,4,region_4#70#2#4,1521,6.16,17.16,76.69,43.17,34.85,0.02,1.27,0.64,1.11,64.34,5.21,0.03,1.22,0.27,0.93,64.12,5.75,0.02,0.78,0.65,0.70,36.78,43.74,0.03,1.39,0.67,1.22
region_4,70,3,1,region_4#70#3#1,43011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,70,3,2,region_4#70#3#2,68449,32.45,32.55,35.00,57.63,7.40,0.03,6.43,0.11,3.15,66.74,1.78,0.03,1.53,0.04,0.92,59.41,6.42,0.02,5.33,0.11,2.80,47.53,13.53,0.04,11.99,0.19,5.53
region_4,70,5,2,region_4#70#5#2,134411,16.85,26.60,56.55,63.35,2.72,0.07,2.77,0.88,2.06,66.76,1.61,0.03,1.47,0.08,1.01,65.84,1.65,0.04,1.74,0.52,1.27,61.16,3.55,0.10,3.65,1.29,2.75
region_4,70,6,2,region_4#70#6#2,196271,7.48,25.27,67.25,65.30,1.93,0.07,1.67,0.85,1.46,67.40,0.87,0.04,1.45,0.15,0.97,68.00,0.82,0.03,0.78,0.21,0.59,64.05,2.47,0.09,2.02,1.16,1.84
region_4,70,7,2,region_4#70#7#2,1273,12.07,26.87,61.06,65.85,1.55,0.06,1.51,0.69,1.32,66.80,1.36,0.04,1.58,0.13,0.99,67.67,0.91,0.03,0.94,0.29,0.71,64.86,1.87,0.08,1.75,0.98,1.66
region_4,60,3,1,region_4#60#3#1,888,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,60,3,2,region_4#60#3#2,126464,18.98,32.11,48.91,61.07,5.15,0.03,4.33,0.29,2.38,67.00,1.53,0.02,1.49,0.06,0.92,62.98,4.16,0.02,3.34,0.13,1.91,57.52,7.19,0.04,6.08,0.48,3.25
region_4,60,5,2,region_4#60#5#2,160778,7.92,25.42,66.66,64.35,2.22,0.06,2.05,1.05,1.76,67.21,1.14,0.03,1.36,0.16,0.87,67.06,1.14,0.03,1.09,0.47,0.87,62.99,2.76,0.08,2.50,1.38,2.21
region_4,60,6,1,region_4#60#6#1,253,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_4,60,6,2,region_4#60#6#2,161578,7.01,24.68,68.31,64.81,2.28,0.07,1.68,1.00,1.54,66.36,1.42,0.04,1.82,0.25,1.19,67.45,0.96,0.04,0.88,0.48,0.79,63.69,2.84,0.08,1.96,1.27,1.85
region_4,60,7,2,region_4#60#7#2,4456,17.08,24.98,57.93,65.65,1.41,0.06,1.39,1.07,1.43,65.99,1.98,0.05,1.76,0.20,1.20,66.87,0.84,0.05,0.98,0.89,1.04,65.02,1.48,0.08,1.46,1.40,1.67
region_5,100,3,1,region_5#100#3#1,9279,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,100,5,1,region_5#100#5#1,58770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,100,6,1,region_5#100#6#1,74236,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,90,3,1,region_5#90#3#1,410004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,90,5,1,region_5#90#5#1,182671,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,90,6,1,region_5#90#6#1,173846,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,90,7,1,region_5#90#7#1,47035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,80,3,1,region_5#80#3#1,333123,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,80,5,1,region_5#80#5#1,84019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,80,6,1,region_5#80#6#1,98728,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_5,80,7,1,region_5#80#7#1,59468,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
region_6,100,3,1,region_6#100#3#1,39806,16.37,18.70,64.93,40.77,39.38,0.02,1.00,0.03,0.89,53.41,22.03,0.02,0.52,0.03,0.74,61.52,10.07,0.02,0.59,0.03,0.65,31.61,52.20,0.02,1.24,0.04,0.99
region_6,100,3,2,region_6#100#3#2,1530,12.25,33.91,53.84,57.10,8.64,0.07,3.51,1.26,3.52,60.78,4.70,0.05,2.48,1.05,3.37,62.67,5.49,0.05,1.07,0.40,2.39,52.75,11.52,0.08,5.28,1.85,4.27
region_6,100,3,4,region_6#100#3#4,40033,17.01,19.63,63.36,42.07,37.35,0.02,1.04,0.04,0.98,54.29,20.59,0.02,0.55,0.03,0.81,60.99,10.80,0.02,0.61,0.03,0.70,32.93,50.08,0.02,1.31,0.04,1.11
region_6,100,5,1,region_6#100#5#1,27900,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,100,6,1,region_6#100#6#1,29180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,100,6,3,region_6#100#6#3,14030,42.92,20.21,36.86,50.96,18.35,0.03,1.48,3.20,2.05,49.98,19.82,0.02,1.24,3.74,1.56,54.38,12.95,0.03,1.54,3.28,2.26,50.22,19.60,0.05,1.72,2.51,2.51
region_6,100,7,1,region_6#100#7#1,29032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,100,8,1,region_6#100#8#1,24111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,90,3,1,region_6#90#3#1,32496,14.04,10.32,26.87,20.72,20.42,0.02,0.46,0.03,0.53,51.18,23.92,0.05,0.78,0.05,1.63,56.96,16.87,0.02,0.57,0.05,0.56,28.50,57.02,0.03,1.09,0.07,0.91
region_6,90,3,2,region_6#90#3#2,37595,45.07,22.33,32.61,66.68,1.28,0.04,0.98,0.60,1.24,67.87,0.61,0.02,0.52,0.51,0.85,67.01,1.13,0.03,0.89,0.53,1.11,64.82,2.32,0.06,1.67,0.77,1.87
region_6,90,5,1,region_6#90#5#1,8213,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,90,5,2,region_6#90#5#2,35549,36.04,19.38,44.59,66.64,1.22,0.03,0.95,0.58,1.46,67.65,0.54,0.02,0.48,0.57,1.25,66.82,1.08,0.03,0.89,0.58,1.33,65.75,1.83,0.04,1.35,0.59,1.67
region_6,90,6,1,region_6#90#6#1,35498,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,90,7,1,region_6#90#7#1,34946,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,90,8,1,region_6#90#8#1,49389,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
region_6,80,3,1,region_6#80#3#1,6811,7.59,4.74,10.19,8.94,8.65,0.01,0.30,0.29,0.29,43.89,31.59,0.02,0.79,2.35,1.20,54.53,18.56,0.02,0.84,0.98,0.87,29.69,52.76,0.04,2.00,0.68,1.53
region_6,80,3,2,region_6#80#3#2,26042,33.80,18.79,47.41,67.19,1.20,0.03,0.86,0.46,1.04,68.24,0.47,0.02,0.45,0.51,0.58,67.14,1.10,0.03,0.86,0.50,1.06,66.46,1.75,0.04,1.15,0.42,1.37
